parameter,name (if diff),unit,expected,low,high,distribution,references,
N_rec_2,,%,95,90,100,uniform,Lohman et al. 2020,
t_urine_retention,,days,2,1,3,uniform,Lohman et al. 2020,
resin_mass_column,,g per column,601,575.8,626.2,uniform,Lohman et al. 2020,
material_tubing,,m,3,2,5,uniform,Lohman et al. 2020,
cost_PVC_column,,USD/m,0.579,0.499,0.658,uniform,Lohman et al. 2020,
cost_tubing,,USD/m,0.15,0.1,0.2,uniform,Lohman et al. 2020,
cost_H2SO4,,USD/metric ton,300,200,400,uniform,Lohman et al. 2020,
cost_resin,,USD/kg,3.335,2.5,4.17,uniform,Lohman et al. 2020,
N_op_cost,,% capital cost,5,4.5,5.5,uniform,Lohman et al. 2020,
N_maint_cost,,% capital cost,30,27,33,uniform,Lohman et al. 2020,
ad_density,,mmol N/g resin,4.02,3.83,4.21,triangular,Lohman et al. 2020,
resin_lifetime,,cycles,100,10,100,triangular,Lohman et al. 2020,
vol_H2SO4,U_regenerant,(L/(g resin * cycle)) 98% H2SO4 regenerant volume,0.000135,,,constant,Lohman et al. 2020,
column_daily_loading_rate,,L/d,100,,,,,
column_length,,m/column,0.4,,,,,
tubing_length,,m/column,3,2,5,uniform,Lohman et al. 2020,
,,,,,,,,
cost_urine_tank1,USD/tank,60,50,70,50,20,uniform,
,,,,,,,,
,,,,,,,,
lifespan,,,,,,,,
ion_exchange,triangle,8,7.2,8.8,0.5,7.2,1.6,
,,,,,,,,
maint time,,,,,,,,
ion_exchange,triangle,4,3.6,4.4,0.5,3.6,0.8,
,,,,,,,,
maint cost ratio,,,,,,,,
ion_exchange,triangle,0.4,0.36,0.44,0.5,0.36,0.08,
,,,,,,,,
op cost ratio,,,,,,,,
ion_exchange,triangle,0.1,0.07,0.1,1,0.07,0.03,
,,,,,,,,
labor cost ratio,,,,,,,,
ion_exchange,triangle,0.25,0.15,0.35,0.5,0.15,0.2,
,,,,,,,,
,,,,,,,,
pvc_mass,,kg PVC/m,0.472,0.354,0.59,uniform,http://www.midcoonline.com/web/Pages/Products/Pipe/Info/PVC_CPVC/,
tubing_mass,,kg PE /m,0.053,0.03975,0.06625,uniform,https://www.parker.com/parkerimages/schrader/cat/english/FRL4J004.pdf,
tank_mass,,kg PE/300 L tank,60,45,75,uniform,https://www.alibaba.com/product-detail/Water-Tank-Plastic-Water-PE-Chemical_1600118359256.html?spm=a2700.7724857.normal_offer.d_title.63de667c1FlTgk&s=p,
tank_cost,,USD/tank,271,252,290,uniform,https://www.alibaba.com/product-detail/Water-Tank-Plastic-Water-PE-Chemical_1600118359256.html?spm=a2700.7724857.normal_offer.d_title.63de667c1FlTgk&s=p,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,"52.59, 29, 29.39, 29, 5.37"
,,,,,,,,
,,,,,,,,"China 10.35, South Africa 4.3, India 3.37  "
,,,,,,,,"China 9.91, South Africa 8.32, Uganda 2.02"
,,,,,,,,"China 23.2, South Africa 21.18, India 7.8"
,,,,,,,,"China 19.95, South Africa 17.88, India 8.8"